도시,날짜,시간,요일,주말여부,계절,연도,월,자전거수요
london,2023-01-06,5,4,0,winter,2023,1,90
london,2023-01-06,6,4,0,winter,2023,1,362
london,2023-01-06,7,4,0,winter,2023,1,915
london,2023-01-06,8,4,0,winter,2023,1,1702
london,2023-01-06,9,4,0,winter,2023,1,1107
london,2023-01-06,10,4,0,winter,2023,1,787
london,2023-01-06,11,4,0,winter,2023,1,846
london,2023-01-06,12,4,0,winter,2023,1,1076
london,2023-01-06,13,4,0,winter,2023,1,1037
london,2023-01-06,14,4,0,winter,2023,1,912
london,2023-01-06,15,4,0,winter,2023,1,1035
london,2023-01-06,16,4,0,winter,2023,1,1298
london,2023-01-06,17,4,0,winter,2023,1,1665
london,2023-01-06,18,4,0,winter,2023,1,1612
london,2023-01-06,19,4,0,winter,2023,1,1143
london,2023-01-06,20,4,0,winter,2023,1,680
london,2023-01-06,21,4,0,winter,2023,1,542
london,2023-01-06,22,4,0,winter,2023,1,490
london,2023-01-06,23,4,0,winter,2023,1,393
london,2023-01-07,0,5,1,winter,2023,1,274
london,2023-01-07,1,5,1,winter,2023,1,186
london,2023-01-07,2,5,1,winter,2023,1,122
london,2023-01-07,3,5,1,winter,2023,1,86
london,2023-01-07,4,5,1,winter,2023,1,60
london,2023-01-07,5,5,1,winter,2023,1,47
london,2023-01-07,6,5,1,winter,2023,1,83
london,2023-01-07,7,5,1,winter,2023,1,222
london,2023-01-07,8,5,1,winter,2023,1,445
london,2023-01-07,9,5,1,winter,2023,1,591
london,2023-01-07,10,5,1,winter,2023,1,769
london,2023-01-07,11,5,1,winter,2023,1,1012
london,2023-01-07,12,5,1,winter,2023,1,1091
london,2023-01-07,13,5,1,winter,2023,1,1076
london,2023-01-07,14,5,1,winter,2023,1,951
london,2023-01-07,15,5,1,winter,2023,1,964
london,2023-01-07,16,5,1,winter,2023,1,730
london,2023-01-07,17,5,1,winter,2023,1,674
london,2023-01-07,18,5,1,winter,2023,1,577
london,2023-01-07,19,5,1,winter,2023,1,577
london,2023-01-07,20,5,1,winter,2023,1,429
london,2023-01-07,21,5,1,winter,2023,1,369
london,2023-01-07,22,5,1,winter,2023,1,315
london,2023-01-07,23,5,1,winter,2023,1,295
london,2023-01-08,0,6,1,winter,2023,1,273
london,2023-01-08,1,6,1,winter,2023,1,181
