city,time_grain,datetime,date,hour,weekday,is_weekend,season,bike_count,temp,rain,humidity,wind
London,hour,2023-01-02 00:00:00,2023-01-02,0,0,0,winter,131,,,,
London,hour,2023-01-02 01:00:00,2023-01-02,1,0,0,winter,62,,,,
London,hour,2023-01-02 02:00:00,2023-01-02,2,0,0,winter,35,,,,
London,hour,2023-01-02 03:00:00,2023-01-02,3,0,0,winter,32,,,,
London,hour,2023-01-02 04:00:00,2023-01-02,4,0,0,winter,41,,,,
London,hour,2023-01-02 05:00:00,2023-01-02,5,0,0,winter,156,,,,
London,hour,2023-01-02 06:00:00,2023-01-02,6,0,0,winter,590,,,,
London,hour,2023-01-02 07:00:00,2023-01-02,7,0,0,winter,1532,,,,
London,hour,2023-01-02 08:00:00,2023-01-02,8,0,0,winter,2766,,,,
London,hour,2023-01-02 09:00:00,2023-01-02,9,0,0,winter,1525,,,,
London,hour,2023-01-02 10:00:00,2023-01-02,10,0,0,winter,860,,,,
London,hour,2023-01-02 11:00:00,2023-01-02,11,0,0,winter,830,,,,
London,hour,2023-01-02 12:00:00,2023-01-02,12,0,0,winter,999,,,,
London,hour,2023-01-02 13:00:00,2023-01-02,13,0,0,winter,995,,,,
London,hour,2023-01-02 14:00:00,2023-01-02,14,0,0,winter,957,,,,
London,hour,2023-01-02 15:00:00,2023-01-02,15,0,0,winter,962,,,,
London,hour,2023-01-02 16:00:00,2023-01-02,16,0,0,winter,1264,,,,
London,hour,2023-01-02 17:00:00,2023-01-02,17,0,0,winter,2178,,,,
London,hour,2023-01-02 18:00:00,2023-01-02,18,0,0,winter,2414,,,,
London,hour,2023-01-02 19:00:00,2023-01-02,19,0,0,winter,1567,,,,
London,hour,2023-01-02 20:00:00,2023-01-02,20,0,0,winter,961,,,,
London,hour,2023-01-02 21:00:00,2023-01-02,21,0,0,winter,769,,,,
London,hour,2023-01-02 22:00:00,2023-01-02,22,0,0,winter,610,,,,
London,hour,2023-01-02 23:00:00,2023-01-02,23,0,0,winter,308,,,,
London,hour,2023-01-03 00:00:00,2023-01-03,0,1,0,winter,154,,,,
London,hour,2023-01-03 01:00:00,2023-01-03,1,1,0,winter,69,,,,
London,hour,2023-01-03 02:00:00,2023-01-03,2,1,0,winter,33,,,,
London,hour,2023-01-03 03:00:00,2023-01-03,3,1,0,winter,33,,,,
London,hour,2023-01-03 04:00:00,2023-01-03,4,1,0,winter,61,,,,
London,hour,2023-01-03 05:00:00,2023-01-03,5,1,0,winter,170,,,,
London,hour,2023-01-03 06:00:00,2023-01-03,6,1,0,winter,634,,,,
London,hour,2023-01-03 07:00:00,2023-01-03,7,1,0,winter,1897,,,,
London,hour,2023-01-03 08:00:00,2023-01-03,8,1,0,winter,3368,,,,
London,hour,2023-01-03 09:00:00,2023-01-03,9,1,0,winter,1731,,,,
London,hour,2023-01-03 10:00:00,2023-01-03,10,1,0,winter,957,,,,
London,hour,2023-01-03 11:00:00,2023-01-03,11,1,0,winter,828,,,,
London,hour,2023-01-03 12:00:00,2023-01-03,12,1,0,winter,954,,,,
London,hour,2023-01-03 13:00:00,2023-01-03,13,1,0,winter,930,,,,
London,hour,2023-01-03 14:00:00,2023-01-03,14,1,0,winter,864,,,,
London,hour,2023-01-03 15:00:00,2023-01-03,15,1,0,winter,992,,,,
London,hour,2023-01-03 16:00:00,2023-01-03,16,1,0,winter,1444,,,,
London,hour,2023-01-03 17:00:00,2023-01-03,17,1,0,winter,2599,,,,
London,hour,2023-01-03 18:00:00,2023-01-03,18,1,0,winter,2534,,,,
London,hour,2023-01-03 19:00:00,2023-01-03,19,1,0,winter,1555,,,,
London,hour,2023-01-03 20:00:00,2023-01-03,20,1,0,winter,1026,,,,
London,hour,2023-01-03 21:00:00,2023-01-03,21,1,0,winter,735,,,,
London,hour,2023-01-03 22:00:00,2023-01-03,22,1,0,winter,633,,,,
London,hour,2023-01-03 23:00:00,2023-01-03,23,1,0,winter,336,,,,
London,hour,2023-01-04 00:00:00,2023-01-04,0,2,0,winter,260,,,,
London,hour,2023-01-04 01:00:00,2023-01-04,1,2,0,winter,240,,,,
London,hour,2023-01-04 02:00:00,2023-01-04,2,2,0,winter,157,,,,
London,hour,2023-01-04 03:00:00,2023-01-04,3,2,0,winter,110,,,,
London,hour,2023-01-04 04:00:00,2023-01-04,4,2,0,winter,93,,,,
London,hour,2023-01-04 05:00:00,2023-01-04,5,2,0,winter,79,,,,
London,hour,2023-01-04 06:00:00,2023-01-04,6,2,0,winter,126,,,,
London,hour,2023-01-04 07:00:00,2023-01-04,7,2,0,winter,244,,,,
