city,time_grain,datetime,date,hour,weekday,is_weekend,season,bike_count,temp,rain,humidity,wind,month_start
London,day,,2023-01-02,,0,0,winter,22544,,,,,2023-01-01
London,day,,2023-01-03,,1,0,winter,24537,,,,,2023-01-01
London,day,,2023-01-04,,2,0,winter,17919,,,,,2023-01-01
London,day,,2023-01-05,,3,0,winter,21856,,,,,2023-01-01
London,day,,2023-01-06,,4,0,winter,29228,,,,,2023-01-01
London,day,,2023-01-07,,5,1,winter,25971,,,,,2023-01-01
London,day,,2023-01-08,,6,1,winter,30055,,,,,2023-01-01
London,day,,2023-01-09,,0,0,winter,44377,,,,,2023-01-01
London,day,,2023-01-10,,1,0,winter,40718,,,,,2023-01-01
London,day,,2023-01-11,,2,0,winter,46581,,,,,2023-01-01
London,day,,2023-01-12,,3,0,winter,41376,,,,,2023-01-01
London,day,,2023-01-13,,4,0,winter,21559,,,,,2023-01-01
London,day,,2023-01-14,,5,1,winter,14179,,,,,2023-01-01
London,day,,2023-01-15,,6,1,winter,15260,,,,,2023-01-01
London,day,,2023-01-16,,0,0,winter,19725,,,,,2023-01-01
London,day,,2023-01-17,,1,0,winter,22191,,,,,2023-01-01
London,day,,2023-01-18,,2,0,winter,22676,,,,,2023-01-01
London,day,,2023-01-19,,3,0,winter,22840,,,,,2023-01-01
London,day,,2023-01-20,,4,0,winter,20197,,,,,2023-01-01
London,day,,2023-01-21,,5,1,winter,17182,,,,,2023-01-01
London,day,,2023-01-22,,6,1,winter,14000,,,,,2023-01-01
London,day,,2023-01-23,,0,0,winter,20369,,,,,2023-01-01
London,day,,2023-01-24,,1,0,winter,23512,,,,,2023-01-01
London,day,,2023-01-25,,2,0,winter,20283,,,,,2023-01-01
London,day,,2023-01-26,,3,0,winter,22270,,,,,2023-01-01
London,day,,2023-01-27,,4,0,winter,21258,,,,,2023-01-01
London,day,,2023-01-28,,5,1,winter,17423,,,,,2023-01-01
London,day,,2023-01-29,,6,1,winter,14243,,,,,2023-01-01
London,day,,2023-02-01,,2,0,winter,11660,,,,,2023-02-01
London,day,,2023-02-02,,3,0,winter,24988,,,,,2023-02-01
London,day,,2023-02-03,,4,0,winter,25042,,,,,2023-02-01
London,day,,2023-02-04,,5,1,winter,17047,,,,,2023-02-01
London,day,,2023-02-05,,6,1,winter,27328,,,,,2023-02-01
London,day,,2023-02-06,,0,0,winter,49539,,,,,2023-02-01
London,day,,2023-02-07,,1,0,winter,48099,,,,,2023-02-01
London,day,,2023-02-08,,2,0,winter,45178,,,,,2023-02-01
London,day,,2023-02-09,,3,0,winter,49741,,,,,2023-02-01
London,day,,2023-02-10,,4,0,winter,49541,,,,,2023-02-01
London,day,,2023-02-11,,5,1,winter,36966,,,,,2023-02-01
London,day,,2023-02-12,,6,1,winter,30150,,,,,2023-02-01
London,day,,2023-02-13,,0,0,winter,23082,,,,,2023-02-01
London,day,,2023-02-14,,1,0,winter,24606,,,,,2023-02-01
