city,country,latitude,longitude,year,month,temperature_celsius,humidity_percent,precipitation_mm,wind_speed_ms
Seoul,South Korea,37.5665,126.978,2023,1,-1.5225806451612904,63.303225806451614,47.9,2.396774193548387
Seoul,South Korea,37.5665,126.978,2023,2,2.3000000000000003,58.9,1.0,2.278571428571429
Seoul,South Korea,37.5665,126.978,2023,3,9.780645161290321,51.24193548387097,10.5,2.3483870967741933
Seoul,South Korea,37.5665,126.978,2023,4,13.8,59.93333333333333,96.89999999999999,2.51
Seoul,South Korea,37.5665,126.978,2023,5,19.52258064516129,62.49354838709677,155.6,2.3483870967741933
Seoul,South Korea,37.5665,126.978,2023,6,23.383333333333333,72.43333333333334,195.6,2.1933333333333334
Seoul,South Korea,37.5665,126.978,2023,7,26.706451612903226,81.0741935483871,459.9,2.129032258064516
Seoul,South Korea,37.5665,126.978,2023,8,27.187096774193545,76.35161290322581,298.09999999999997,2.161290322580645
Seoul,South Korea,37.5665,126.978,2023,9,23.663333333333334,73.48333333333333,134.5,2.033333333333333
Seoul,South Korea,37.5665,126.978,2023,10,15.793548387096775,66.47741935483872,31.0,1.8870967741935485
Seoul,South Korea,37.5665,126.978,2023,11,6.796666666666667,64.50333333333333,81.89999999999999,2.5533333333333332
Seoul,South Korea,37.5665,126.978,2023,12,1.1161290322580644,69.3483870967742,85.9,2.427586206896552
Seoul,South Korea,37.5665,126.978,2024,1,-0.4870967741935483,66.56129032258065,18.9,2.332258064516129
Seoul,South Korea,37.5665,126.978,2024,2,3.820689655172414,72.94827586206897,74.7,2.5448275862068965
Seoul,South Korea,37.5665,126.978,2024,3,6.970967741935484,57.193548387096776,29.9,2.7464285714285714
Seoul,South Korea,37.5665,126.978,2024,4,16.343333333333334,56.24,33.2,2.3766666666666665
Seoul,South Korea,37.5665,126.978,2024,5,18.493548387096773,63.24193548387097,125.1,2.435483870967742
Seoul,South Korea,37.5665,126.978,2024,6,24.59333333333333,60.49666666666667,115.9,2.2233333333333336
Seoul,South Korea,37.5665,126.978,2024,7,26.596774193548388,80.99354838709678,557.3,2.5258064516129033
Seoul,South Korea,37.5665,126.978,2024,8,29.33225806451613,72.56774193548387,72.80000000000001,2.074193548387097
Seoul,South Korea,37.5665,126.978,2024,9,25.483333333333334,71.80333333333333,143.9,2.296666666666667
Seoul,South Korea,37.5665,126.978,2024,10,16.654838709677417,69.63870967741936,74.0,2.032258064516129
Seoul,South Korea,37.5665,126.978,2024,11,9.676666666666668,62.376666666666665,60.0,2.0
Seoul,South Korea,37.5665,126.978,2024,12,0.8483870967741935,56.248387096774195,5.7,2.167741935483871
Seoul,South Korea,37.5665,126.978,2025,1,-0.4290322580645161,61.0516129032258,19.5,2.2838709677419353
Seoul,South Korea,37.5665,126.978,2025,2,-1.175,55.660714285714285,5.199999999999999,2.5892857142857144
Seoul,South Korea,37.5665,126.978,2025,3,7.990322580645161,56.06129032258064,38.2,2.761290322580645
Seoul,South Korea,37.5665,126.978,2025,4,13.416666666666666,60.46666666666667,94.6,2.5233333333333334
Seoul,South Korea,37.5665,126.978,2025,5,17.770967741935483,66.89032258064516,123.6,2.3419354838709676
Seoul,South Korea,37.5665,126.978,2025,6,24.03666666666667,68.3,98.1,2.296666666666667
Seoul,South Korea,37.5665,126.978,2025,7,28.780645161290323,71.8225806451613,293.9,2.264516129032258
Seoul,South Korea,37.5665,126.978,2025,8,28.241935483870968,75.58709677419354,290.3,2.264516129032258
Seoul,South Korea,37.5665,126.978,2025,9,23.45,75.35666666666665,370.7,1.9966666666666666
Seoul,South Korea,37.5665,126.978,2025,10,16.474193548387095,75.50967741935483,186.3,2.264516129032258
Seoul,South Korea,37.5665,126.978,2025,11,8.956666666666667,61.276666666666664,20.8,2.07
Seoul,South Korea,37.5665,126.978,2025,12,1.2354838709677418,61.34838709677419,41.2,2.3451612903225807
