city,time_grain,datetime,date,hour,weekday,is_weekend,season,bike_count,temp,rain,humidity,wind
Seoul,day,,2023-01-01,,6,1,winter,38037,,,,
Seoul,day,,2023-01-02,,0,0,winter,56609,,,,
Seoul,day,,2023-01-03,,1,0,winter,61252,,,,
Seoul,day,,2023-01-04,,2,0,winter,67721,,,,
Seoul,day,,2023-01-05,,3,0,winter,68711,,,,
Seoul,day,,2023-01-06,,4,0,winter,63125,,,,
Seoul,day,,2023-01-07,,5,1,winter,42492,,,,
Seoul,day,,2023-01-08,,6,1,winter,44620,,,,
Seoul,day,,2023-01-09,,0,0,winter,74134,,,,
Seoul,day,,2023-01-10,,1,0,winter,80604,,,,
Seoul,day,,2023-01-11,,2,0,winter,81988,,,,
Seoul,day,,2023-01-12,,3,0,winter,87595,,,,
Seoul,day,,2023-01-13,,4,0,winter,20792,,,,
Seoul,day,,2023-01-14,,5,1,winter,25896,,,,
Seoul,day,,2023-01-15,,6,1,winter,21415,,,,
Seoul,day,,2023-01-16,,0,0,winter,61311,,,,
Seoul,day,,2023-01-17,,1,0,winter,67337,,,,
Seoul,day,,2023-01-18,,2,0,winter,71361,,,,
Seoul,day,,2023-01-19,,3,0,winter,68359,,,,
Seoul,day,,2023-01-20,,4,0,winter,51398,,,,
Seoul,day,,2023-01-21,,5,1,winter,30226,,,,
Seoul,day,,2023-01-22,,6,1,winter,22752,,,,
Seoul,day,,2023-01-23,,0,0,winter,30880,,,,
Seoul,day,,2023-01-24,,1,0,winter,15265,,,,
Seoul,day,,2023-01-25,,2,0,winter,38329,,,,
Seoul,day,,2023-01-26,,3,0,winter,24340,,,,
Seoul,day,,2023-01-27,,4,0,winter,40221,,,,
Seoul,day,,2023-01-28,,5,1,winter,35890,,,,
Seoul,day,,2023-01-29,,6,1,winter,38347,,,,
Seoul,day,,2023-01-30,,0,0,winter,65611,,,,
Seoul,day,,2023-01-31,,1,0,winter,74828,,,,
Seoul,day,,2023-02-01,,2,0,winter,72476,,,,
Seoul,day,,2023-02-02,,3,0,winter,70755,,,,
Seoul,day,,2023-02-03,,4,0,winter,72693,,,,
Seoul,day,,2023-02-04,,5,1,winter,57939,,,,
Seoul,day,,2023-02-05,,6,1,winter,53806,,,,
Seoul,day,,2023-02-06,,0,0,winter,81306,,,,
